閒聊	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">她倆正在院子裡閒呢。</td><td style=""width: 33.3333%;"">They are chatting in the courtyard.</td><td style=""width: 33.3333%;"">Tā liǎ zhèng zài yuànzi lǐ xiánliáo ne.</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">她倆正在院子裡閒呢。</td><td style=""width: 33.3333%;"">They are chatting in the courtyard.</td><td style=""width: 33.3333%;"">Tā liǎ zhèng zài yuànzi lǐ _ _ ne.</td></tr></tbody></table>"	閒聊
機構	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">傳動機構</td><td style=""width: 33.3333%;"">transmission mechanism</td><td style=""width: 33.3333%;"">chuándòng jīgòu</td></tr><tr><td style=""width: 33.3333%;"">分離機構</td><td style=""width: 33.3333%;"">disengaging mechanism</td><td style=""width: 33.3333%;"">fēnlí jīgòu</td></tr><tr><td style=""width: 33.3333%;"">國家機構</td><td style=""width: 33.3333%;"">state institution</td><td style=""width: 33.3333%;"">guójiā jīgòu</td></tr><tr><td style=""width: 33.3333%;"">金融機構</td><td style=""width: 33.3333%;"">financial setup</td><td style=""width: 33.3333%;"">jīnróng jīgòu</td></tr><tr><td style=""width: 33.3333%;"">科研機構</td><td style=""width: 33.3333%;"">scientific research institution</td><td style=""width: 33.3333%;"">kēyán jīgòu</td></tr><tr><td style=""width: 33.3333%;"">領事機構</td><td style=""width: 33.3333%;"">consular mission</td><td style=""width: 33.3333%;"">lǐngshì jīgòu</td></tr><tr><td style=""width: 33.3333%;"">民間機構</td><td style=""width: 33.3333%;"">non-governmental institution</td><td style=""width: 33.3333%;"">mínjiān jīgòu</td></tr><tr><td style=""width: 33.3333%;"">權力機構</td><td style=""width: 33.3333%;"">organ of power</td><td style=""width: 33.3333%;"">quánlì jīgòu</td></tr><tr><td style=""width: 33.3333%;"">商務機構</td><td style=""width: 33.3333%;"">commercial organization</td><td style=""width: 33.3333%;"">shāngwù jīgòu</td></tr><tr><td style=""width: 33.3333%;"">宣傳機構</td><td style=""width: 33.3333%;"">organ in charge of publicity or information</td><td style=""width: 33.3333%;"">xuānchuán jīgòu</td></tr><tr><td style=""width: 33.3333%;"">政府機構</td><td style=""width: 33.3333%;"">government organization</td><td style=""width: 33.3333%;"">zhèngfǔ jīgòu</td></tr><tr><td style=""width: 33.3333%;"">外交代表機構</td><td style=""width: 33.3333%;"">diplomatic mission</td><td style=""width: 33.3333%;"">wàijiāo dàibiǎo jīgòu</td></tr><tr><td style=""width: 33.3333%;"">機構重疊</td><td style=""width: 33.3333%;"">organizational overlapping</td><td style=""width: 33.3333%;"">jīgòuchóngdié</td></tr><tr><td style=""width: 33.3333%;"">機構龐大</td><td style=""width: 33.3333%;"">with unwieldy organizations</td><td style=""width: 33.3333%;"">jīgòu pángdà</td></tr><tr><td style=""width: 33.3333%;"">機構臃腫</td><td style=""width: 33.3333%;"">organizational overstaffing</td><td style=""width: 33.3333%;"">jīgòu yōngzhǒng</td></tr><tr><td style=""width: 33.3333%;"">調整機構</td><td style=""width: 33.3333%;"">adjust the organizational structure</td><td style=""width: 33.3333%;"">tiáozhěng jīgòu</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">傳動 _ _ </td><td style=""width: 33.3333%;"">transmission mechanism</td><td style=""width: 33.3333%;"">chuándòng _ _</td></tr><tr><td style=""width: 33.3333%;"">分離 _ _ </td><td style=""width: 33.3333%;"">disengaging mechanism</td><td style=""width: 33.3333%;"">fēnlí _ _</td></tr><tr><td style=""width: 33.3333%;"">國家 _ _ </td><td style=""width: 33.3333%;"">state institution</td><td style=""width: 33.3333%;"">guójiā _ _</td></tr><tr><td style=""width: 33.3333%;"">金融 _ _ </td><td style=""width: 33.3333%;"">financial setup</td><td style=""width: 33.3333%;"">jīnróng _ _</td></tr><tr><td style=""width: 33.3333%;"">科研 _ _ </td><td style=""width: 33.3333%;"">scientific research institution</td><td style=""width: 33.3333%;"">kēyán _ _</td></tr><tr><td style=""width: 33.3333%;"">領事 _ _ </td><td style=""width: 33.3333%;"">consular mission</td><td style=""width: 33.3333%;"">lǐngshì _ _</td></tr><tr><td style=""width: 33.3333%;"">民間 _ _ </td><td style=""width: 33.3333%;"">non-governmental institution</td><td style=""width: 33.3333%;"">mínjiān _ _</td></tr><tr><td style=""width: 33.3333%;"">權力 _ _ </td><td style=""width: 33.3333%;"">organ of power</td><td style=""width: 33.3333%;"">quánlì _ _</td></tr><tr><td style=""width: 33.3333%;"">商務 _ _ </td><td style=""width: 33.3333%;"">commercial organization</td><td style=""width: 33.3333%;"">shāngwù _ _</td></tr><tr><td style=""width: 33.3333%;"">宣傳 _ _ </td><td style=""width: 33.3333%;"">organ in charge of publicity or information</td><td style=""width: 33.3333%;"">xuānchuán _ _</td></tr><tr><td style=""width: 33.3333%;"">政府 _ _ </td><td style=""width: 33.3333%;"">government organization</td><td style=""width: 33.3333%;"">zhèngfǔ _ _</td></tr><tr><td style=""width: 33.3333%;"">外交代表 _ _ </td><td style=""width: 33.3333%;"">diplomatic mission</td><td style=""width: 33.3333%;"">wàijiāo dàibiǎo _ _</td></tr><tr><td style=""width: 33.3333%;""> _ _ 重疊</td><td style=""width: 33.3333%;"">organizational overlapping</td><td style=""width: 33.3333%;"">_ _chóngdié</td></tr><tr><td style=""width: 33.3333%;""> _ _ 龐大</td><td style=""width: 33.3333%;"">with unwieldy organizations</td><td style=""width: 33.3333%;"">_ _ pángdà</td></tr><tr><td style=""width: 33.3333%;""> _ _ 臃腫</td><td style=""width: 33.3333%;"">organizational overstaffing</td><td style=""width: 33.3333%;"">_ _ yōngzhǒng</td></tr><tr><td style=""width: 33.3333%;"">調整 _ _ </td><td style=""width: 33.3333%;"">adjust the organizational structure</td><td style=""width: 33.3333%;"">tiáozhěng _ _</td></tr></tbody></table>"	機構
審判	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">審判經濟案件</td><td style=""width: 33.3333%;"">try economic cases</td><td style=""width: 33.3333%;"">shěnpàn jīngjì ànjiàn</td></tr><tr><td style=""width: 33.3333%;"">受到人民的審判</td><td style=""width: 33.3333%;"">be tried by the people</td><td style=""width: 33.3333%;"">shòudào rénmín de shěnpàn</td></tr><tr><td style=""width: 33.3333%;"">由軍事法庭審判</td><td style=""width: 33.3333%;"">be court-martialled</td><td style=""width: 33.3333%;"">yóu jūnshì fǎtíng shěnpàn</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;""> _ _ 經濟案件</td><td style=""width: 33.3333%;"">try economic cases</td><td style=""width: 33.3333%;"">_ _ jīngjì ànjiàn</td></tr><tr><td style=""width: 33.3333%;"">受到人民的 _ _ </td><td style=""width: 33.3333%;"">be tried by the people</td><td style=""width: 33.3333%;"">shòudào rénmín de _ _</td></tr><tr><td style=""width: 33.3333%;"">由軍事法庭 _ _ </td><td style=""width: 33.3333%;"">be court-martialled</td><td style=""width: 33.3333%;"">yóu jūnshì fǎtíng _ _</td></tr></tbody></table>"	審判
延燒	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">這場森林大火延燒達五百平方公里。</td><td style=""width: 33.3333%;"">The forest fire spread over an area of five hundred square kilometres.</td><td style=""width: 33.3333%;"">zhè cháng sēnlín dàhuǒ yánshāo dá wǔbǎi píngfāng gōnglǐ.</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">這場森林大火 _ _ 達五百平方公里。</td><td style=""width: 33.3333%;"">The forest fire spread over an area of five hundred square kilometres.</td><td style=""width: 33.3333%;"">zhè cháng sēnlín dàhuǒ _ _ dá wǔbǎi píngfāng gōnglǐ.</td></tr></tbody></table>"	延燒
迄今	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">人們迄今懷念著這些革命先烈。</td><td style=""width: 33.3333%;"">To this day people still cherish the memory of these revolutionary martyrs.</td><td style=""width: 33.3333%;"">Rénmen qìjīn huáiniàn zhe zhèxiē gémìng xiānliè.</td></tr><tr><td style=""width: 33.3333%;"">事情迄今還未作出決定。</td><td style=""width: 33.3333%;"">To date, the matter hasn’t yet been decided.</td><td style=""width: 33.3333%;"">shìqingqìjīn hái wèi zuò chū juédìng.</td></tr><tr><td style=""width: 33.3333%;"">他的態度迄今並無明顯的轉變。</td><td style=""width: 33.3333%;"">There has been no visible change in his attitude so far.</td><td style=""width: 33.3333%;"">Tā de tàidu qìjīn bìng wú míngxiǎn de zhuǎnbiàn.</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">人們 _ _ 懷念著這些革命先烈。</td><td style=""width: 33.3333%;"">To this day people still cherish the memory of these revolutionary martyrs.</td><td style=""width: 33.3333%;"">Rénmen _ _ huáiniàn zhe zhèxiē gémìng xiānliè.</td></tr><tr><td style=""width: 33.3333%;"">事情 _ _ 還未作出決定。</td><td style=""width: 33.3333%;"">To date, the matter hasn’t yet been decided.</td><td style=""width: 33.3333%;"">shìqing_ _ hái wèi zuò chū juédìng.</td></tr><tr><td style=""width: 33.3333%;"">他的態度 _ _ 並無明顯的轉變。</td><td style=""width: 33.3333%;"">There has been no visible change in his attitude so far.</td><td style=""width: 33.3333%;"">Tā de tàidu _ _ bìng wú míngxiǎn de zhuǎnbiàn.</td></tr></tbody></table>"	迄今
仰賴	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">我們仰賴您的資助。</td><td style=""width: 33.3333%;"">We rely on your financial support.</td><td style=""width: 33.3333%;"">Wǒmen yǎnglài nín de zīzhù.</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">我們 _ _ 您的資助。</td><td style=""width: 33.3333%;"">We rely on your financial support.</td><td style=""width: 33.3333%;"">Wǒmen _ _ nín de zīzhù.</td></tr></tbody></table>"	仰賴
坦承	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">許多家長坦承, 在教育子女的問題上存在困惑。</td><td style=""width: 33.3333%;"">Many parents frankly admit that they have trouble bringing up their children.</td><td style=""width: 33.3333%;"">Xǔduō jiāzhǎng tǎnchéng, zài jiàoyù zǐnǚ de wèntí shàng cúnzài kùnhuò.</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">許多家長 _ _ , 在教育子女的問題上存在困惑。</td><td style=""width: 33.3333%;"">Many parents frankly admit that they have trouble bringing up their children.</td><td style=""width: 33.3333%;"">Xǔduō jiāzhǎng _ _, zài jiàoyù zǐnǚ de wèntí shàng cúnzài kùnhuò.</td></tr></tbody></table>"	坦承
措施	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">措施得力</td><td style=""width: 33.3333%;"">effective measures</td><td style=""width: 33.3333%;"">cuòshī délì</td></tr><tr><td style=""width: 33.3333%;"">安全措施</td><td style=""width: 33.3333%;"">safety measures</td><td style=""width: 33.3333%;"">ānquán cuòshī</td></tr><tr><td style=""width: 33.3333%;"">強制性措施</td><td style=""width: 33.3333%;"">compulsory measures</td><td style=""width: 33.3333%;"">qiángzhìxìng cuòshī</td></tr><tr><td style=""width: 33.3333%;"">採取重大措施</td><td style=""width: 33.3333%;"">adopt an important measure</td><td style=""width: 33.3333%;"">cǎiqǔ zhòngdà cuòshī</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;""> _ _ 得力</td><td style=""width: 33.3333%;"">effective measures</td><td style=""width: 33.3333%;"">_ _ délì</td></tr><tr><td style=""width: 33.3333%;"">安全 _ _ </td><td style=""width: 33.3333%;"">safety measures</td><td style=""width: 33.3333%;"">ānquán _ _</td></tr><tr><td style=""width: 33.3333%;"">強制性 _ _ </td><td style=""width: 33.3333%;"">compulsory measures</td><td style=""width: 33.3333%;"">qiángzhìxìng _ _</td></tr><tr><td style=""width: 33.3333%;"">採取重大 _ _ </td><td style=""width: 33.3333%;"">adopt an important measure</td><td style=""width: 33.3333%;"">cǎiqǔ zhòngdà _ _</td></tr></tbody></table>"	措施
支援	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">支援災區 </td> <td style=""width: 33.3333%;"">give aid (or send relief) to disaster areas </td> <td style=""width: 33.3333%;"">Zhīyuán zāiqū </td> </tr> <tr> <td style=""width: 33.3333%;"">各行各業都要大力支援農業。 </td> <td style=""width: 33.3333%;"">All trades and professions must support agriculture.</td> <td style=""width: 33.3333%;"">Gèhánggèyè dōu yào dàlì zhīyuán nóngyè. </td> </tr> </tbody> </table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;""> _ _ 災區 </td> <td style=""width: 33.3333%;"">give aid (or send relief) to disaster areas </td> <td style=""width: 33.3333%;"">Zhīyuán zāiqū </td> </tr> <tr> <td style=""width: 33.3333%;"">各行各業都要大力 _ _ 農業。 </td> <td style=""width: 33.3333%;"">All trades and professions must support agriculture.</td> <td style=""width: 33.3333%;"">Gèhánggèyè dōu yào dàlì _ _ nóngyè. </td> </tr> </tbody> </table>"	支援
拉攏	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;"">拉攏腐蝕</td><td style=""width: 33.3333%;"">woo and corrupt sb.</td><td style=""width: 33.3333%;"">lālong fǔshí</td></tr><tr><td style=""width: 33.3333%;"">拉攏感情</td><td style=""width: 33.3333%;"">win sb. over by currying favour with him or her</td><td style=""width: 33.3333%;"">lālong gǎnqíng</td></tr><tr><td style=""width: 33.3333%;"">拉攏一些人, 排擠一些人</td><td style=""width: 33.3333%;"">drawing some people in and pushing others out</td><td style=""width: 33.3333%;"">Lālong yīxiē rén, páijǐ yīxiē rén</td></tr><tr><td style=""width: 33.3333%;"">受壞人拉攏</td><td style=""width: 33.3333%;"">get roped in by bad people</td><td style=""width: 33.3333%;"">shòu huàirén lālong</td></tr></tbody></table>"	"<table style=""border-collapse: collapse; width: 100%;"" border=""1""><tbody><tr><td style=""width: 33.3333%;""> _ _ 腐蝕</td><td style=""width: 33.3333%;"">woo and corrupt sb.</td><td style=""width: 33.3333%;"">_ _ fǔshí</td></tr><tr><td style=""width: 33.3333%;""> _ _ 感情</td><td style=""width: 33.3333%;"">win sb. over by currying favour with him or her</td><td style=""width: 33.3333%;"">_ _ gǎnqíng</td></tr><tr><td style=""width: 33.3333%;""> _ _ 一些人, 排擠一些人</td><td style=""width: 33.3333%;"">drawing some people in and pushing others out</td><td style=""width: 33.3333%;"">Lālong yīxiē rén, páijǐ yīxiē rén</td></tr><tr><td style=""width: 33.3333%;"">受壞人 _ _ </td><td style=""width: 33.3333%;"">get roped in by bad people</td><td style=""width: 33.3333%;"">shòu huàirén _ _</td></tr></tbody></table>"	拉攏
