呼應	verb echo; work in concert with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">互相呼應</td><td style="width: 33.3333%;">echo each other</td><td style="width: 33.3333%;">hùxiāng hūyìng</td></tr></tbody></table>	呼應
口號	noun 1 slogan 2 dated watchword; password as in the army	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">呼口號</td><td style="width: 33.3333%;">shout slogans</td><td style="width: 33.3333%;">hū kǒuhào</td></tr><tr><td style="width: 33.3333%;">標語口號</td><td style="width: 33.3333%;">posters and slogans</td><td style="width: 33.3333%;">biāoyǔ kǒuhào</td></tr><tr><td style="width: 33.3333%;">提出口號</td><td style="width: 33.3333%;">put forward a slogan</td><td style="width: 33.3333%;">tíchū kǒuhào</td></tr></tbody></table>	口號
脫離	verb separate oneself from; break away from; be divorced from	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">脫離關係</td><td style="width: 33.3333%;">break off relations; cut ties</td><td style="width: 33.3333%;">tuōlí guānxi</td></tr><tr><td style="width: 33.3333%;">脫離群眾</td><td style="width: 33.3333%;">cut oneself off from the masses; be divorced from the masses</td><td style="width: 33.3333%;">tuōlí qúnzhòng</td></tr><tr><td style="width: 33.3333%;">脫離實際</td><td style="width: 33.3333%;">lose contact with reality; be divorced from reality</td><td style="width: 33.3333%;">tuōlí shíjì</td></tr><tr><td style="width: 33.3333%;">病人脫離危險了。</td><td style="width: 33.3333%;">The patient is out of danger.</td><td style="width: 33.3333%;">Bìngrén tuōlí wēixiǎn le.</td></tr></tbody></table>	脫離
程序	noun 1 order; procedure; course; sequence 2 computing programme	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">程序事項</td><td style="width: 33.3333%;">procedural matters</td><td style="width: 33.3333%;">chéngxù shìxiàng</td></tr><tr><td style="width: 33.3333%;">程序問題</td><td style="width: 33.3333%;">question of procedure; point of order</td><td style="width: 33.3333%;">chéngxù wèntí</td></tr><tr><td style="width: 33.3333%;">程序性動議</td><td style="width: 33.3333%;">procedural motion</td><td style="width: 33.3333%;">chéngxù xìng dòngyì</td></tr><tr><td style="width: 33.3333%;">法律程序</td><td style="width: 33.3333%;">legal procedure</td><td style="width: 33.3333%;">fǎlǜ chéngxù</td></tr><tr><td style="width: 33.3333%;">符合程序</td><td style="width: 33.3333%;">be in order</td><td style="width: 33.3333%;">fúhé chéngxù</td></tr><tr><td style="width: 33.3333%;">工作程序</td><td style="width: 33.3333%;">working procedure</td><td style="width: 33.3333%;">gōngzuò chéngxù</td></tr><tr><td style="width: 33.3333%;">編程序</td><td style="width: 33.3333%;">write programmes for computers; programme</td><td style="width: 33.3333%;">biān chéngxù</td></tr></tbody></table>	程序
送交	verb deliver to; hand over to	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">請把這封信送交中國日報社。</td><td style="width: 33.3333%;">Zhōngguó rìbào shè.</td><td style="width: 33.3333%;">Qǐng bǎ zhè fēng xìn sòngjiāo</td></tr><tr><td style="width: 33.3333%;">把嫌疑犯送交法院審判</td><td style="width: 33.3333%;">hand the suspect over to the court for trial</td><td style="width: 33.3333%;">bǎ xiányífàn sòngjiāo fǎyuàn shěnpàn</td></tr></tbody></table>	送交
形式	noun form; shape	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">藝術形式</td><td style="width: 33.3333%;">art form</td><td style="width: 33.3333%;">yìshù xíngshì</td></tr><tr><td style="width: 33.3333%;">組織形式</td><td style="width: 33.3333%;">organizational makeup</td><td style="width: 33.3333%;">zǔzhī xíngshì</td></tr><tr><td style="width: 33.3333%;">形式地看問題</td><td style="width: 33.3333%;">consider a question in a mechanical way</td><td style="width: 33.3333%;">Xíngshì de kàn wèntí</td></tr><tr><td style="width: 33.3333%;">以公開信形式提出建議</td><td style="width: 33.3333%;">put suggestions in the form of an open letter</td><td style="width: 33.3333%;">yǐ gōngkāixìn xíngshì tíchū jiànyì</td></tr><tr><td style="width: 33.3333%;">那次選舉只不過是個形式。</td><td style="width: 33.3333%;">The elections were conducted only as a matter of form.</td><td style="width: 33.3333%;">Nà cì xuǎnjǔ zhǐ buguò shì ge xíngshì.</td></tr></tbody></table>	形式
協商	verb consult; talk things over	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">協商一致的原則</td><td style="width: 33.3333%;">the principle of reaching unanimity through consultation; principle of consensus</td><td style="width: 33.3333%;">xiéshāng yīzhì de yuánzé</td></tr><tr><td style="width: 33.3333%;">需要和有關部門協商。</td><td style="width: 33.3333%;">It’s necessary to consult with the departments concerned.</td><td style="width: 33.3333%;">Xūyào hé yǒuguān bùmén xiéshāng.</td></tr><tr><td style="width: 33.3333%;">有問題可以協商解決。</td><td style="width: 33.3333%;">The problems can be solved through consultation.</td><td style="width: 33.3333%;">Yǒu wèntí kěyǐ xiéshāng jiějué.</td></tr></tbody></table>	協商
權益	noun rights and interests	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">經濟權益</td><td style="width: 33.3333%;">economic rights and interests</td><td style="width: 33.3333%;">jīngjì quányì</td></tr></tbody></table>	權益
一系列	adjective series of	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">一系列措施</td><td style="width: 33.3333%;">a series of measures</td><td style="width: 33.3333%;">yī xìliè cuòshī</td></tr><tr><td style="width: 33.3333%;">一系列問題</td><td style="width: 33.3333%;">a whole series of questions</td><td style="width: 33.3333%;">Yī xìliè wèntí</td></tr><tr><td style="width: 33.3333%;">一系列的事件</td><td style="width: 33.3333%;">a whole train of events</td><td style="width: 33.3333%;">yī xìliè de shìjiàn</td></tr></tbody></table>	一系列
艱難	adjective difficult; hard	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">艱難歲月</td><td style="width: 33.3333%;">difficult days; hard times; arduous years</td><td style="width: 33.3333%;">jiānnán suìyuè</td></tr><tr><td style="width: 33.3333%;">處境艱難</td><td style="width: 33.3333%;">be in a predicament</td><td style="width: 33.3333%;">chǔjìng jiānnán</td></tr><tr><td style="width: 33.3333%;">生活艱難</td><td style="width: 33.3333%;">live in straitened circumstances</td><td style="width: 33.3333%;">shēnghuó jiānnán</td></tr><tr><td style="width: 33.3333%;">行動艱難</td><td style="width: 33.3333%;">walk with difficulty</td><td style="width: 33.3333%;">xíngdòng jiānnán</td></tr><tr><td style="width: 33.3333%;">艱難困苦出能人。</td><td style="width: 33.3333%;">Bad times make a capable man.</td><td style="width: 33.3333%;">jiānnán kùnkǔ chū néngrén.</td></tr></tbody></table>	艱難
史無前例	idiom without precedent in history; unprecedented	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">史無前例的壯舉</td><td style="width: 33.3333%;">unprecedented feat</td><td style="width: 33.3333%;">Shǐwúqiánlì de zhuàngjǔ</td></tr></tbody></table>	史無前例
必須	adverb must; have to	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">必須指出</td><td style="width: 33.3333%;">it must be pointed out that</td><td style="width: 33.3333%;">Bìxū zhǐchū</td></tr><tr><td style="width: 33.3333%;">必須厲行節約。</td><td style="width: 33.3333%;">It is imperative to practise economy.</td><td style="width: 33.3333%;">Bìxū lìxíngjiéyuē.</td></tr><tr><td style="width: 33.3333%;">學習必須刻苦。</td><td style="width: 33.3333%;">Learning requires diligence.</td><td style="width: 33.3333%;">Xuéxí bìxū kèkǔ.</td></tr><tr><td style="width: 33.3333%;">共產黨員必須勇於批評和自我批評。</td><td style="width: 33.3333%;">A Communist must have the courage to criticize others as well as themselves.</td><td style="width: 33.3333%;">Gòngchǎndǎngyuán bìxū yǒngyú pīpíng hé zìwǒ pīpíng.</td></tr></tbody></table>	必須
秀	adjective 1 elegant; beautiful 2 smart; intelligent; clever 3 excellent<br>noun 1 excellent person; talented person 2 transliteration show<br>verb (of grain crops, etc.) put forth flowers or ears	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">清秀</td><td style="width: 33.3333%;">delicate and pretty</td><td style="width: 33.3333%;">qīngxiù</td></tr><tr><td style="width: 33.3333%;">內秀</td><td style="width: 33.3333%;">intelligent without showing it</td><td style="width: 33.3333%;">nèixiù</td></tr><tr><td style="width: 33.3333%;">優秀</td><td style="width: 33.3333%;">outstanding; excellent; splendid; fine</td><td style="width: 33.3333%;">yōuxiù</td></tr><tr><td style="width: 33.3333%;">新秀</td><td style="width: 33.3333%;">newly emerging talent</td><td style="width: 33.3333%;">xīnxiù</td></tr><tr><td style="width: 33.3333%;">脫口秀</td><td style="width: 33.3333%;">talk show</td><td style="width: 33.3333%;">tuōkǒuxiù</td></tr><tr><td style="width: 33.3333%;">秀穗</td><td style="width: 33.3333%;">put forth ears</td><td style="width: 33.3333%;">xiùsuì</td></tr></tbody></table>	秀
監視	verb (keep) watch on; keep a lookout over law	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">監視居住</td><td style="width: 33.3333%;">live at home under surveillance</td><td style="width: 33.3333%;">jiānshìjūzhù</td></tr><tr><td style="width: 33.3333%;">監視敵人的行動</td><td style="width: 33.3333%;">keep watch on the movements of the enemy</td><td style="width: 33.3333%;">jiānshì dírén de xíngdòng</td></tr><tr><td style="width: 33.3333%;">仍受到警方監視</td><td style="width: 33.3333%;">still under police surveillance</td><td style="width: 33.3333%;">réng shòudào jǐngfāng jiānshì</td></tr></tbody></table>	監視
