閒聊	xian2liao2
舅媽	jiu4ma1
新創公司	xin1 chuang4 gong1si1
僕人	pu2ren2
百般	bai3ban1
上癮	shang4yin3
物理治療	wu4li3zhi4liao2
機構	ji1gou4
助聽器	zhu4ting1qi4
審判	shen3pan4
延燒	yan2shao1
迄今	qi4jin1
出售	chu1shou4
寬限期	Kuan1xian4 qi1
此舉	ci3ju3
仰賴	yang3lai4
坦承	tan3cheng2
研討	yan2tao3
緊急應變	jin3ji2ying4bian4
措施	cuo4shi1
支援	zhi1yuan2
搜尋	sou1xun2
僅次於	jin3 ci4yu2
製造商	zhi4zao4shang1
晶片	jing1pian4
作業系統	zuo4ye4xi4tong3
供應商	gong1ying4shang1
試圖	shi4tu2
拉攏	la1long5
盟國	meng2guo2
實施	shi2shi1
穆斯林	Mu4si1lin2
齋戒	zhai1jie4
信眾	xin4zhong4
祈禱	qi2dao3
親近	qin1jin4
誘惑	you4huo4
額外	e2wai4
從事	cong2shi4
世俗	shi4su2
觀看	guan1kan4
視頻	shi4pin2
影音	ying3yin1
擺脫	bai3//tuo1
沉思	chen2si1
內省	nei4xing3
善行	shan4xing2
視為	shi4wei2
成長率	cheng2zhang3lü4
約旦	Yue1dan4
居民	ju1min2
耗	hao4
並非	bing4fei1
大好時機	da4hao3 shi2ji1
南蘇丹	Nan2 Su1dan1
飢餓	ji1e4
糧食	liang2shi5
短缺	duan3que1
創下	chuang4xia4
聯合國	Lian2he2guo2
險境	xian3jing4
瀕臨	bin1lin2
國交	guo2jiao1
戰團	zhan4tuan2
團體	tuan2ti3
簽署	qian1shu3
協議	xie2yi4
和平	he2ping2
挨餓	ai2e4
惡化	e4hua4
歸咎	gui1jiu4
危機	wei1ji1
經年	jing1nian2
未解	wei4jie3
情勢	qing2shi4
雪上加霜	xue3shang4-jia1shuang1
適逢	shi4feng2
鄰國	lin2guo2
一分為二	yi1fen1-wei2er4
旋即	xuan2ji2
陷入	xian4ru4
野蠻	ye3man2
種族	zhong3zu2
暴力	bao4li4
交戰團體	jiao1zhan4 tuan2ti3
阿波羅	A1bo1luo2
月岩	yue4yan2
總署	zong3shu3
收藏	shou1cang2
執行	zhi2xing2
休士頓	Xiu1shi4dun4
約翰	Yue1han4
團隊	tuan2dui4
樣本	yang4ben3
土壤	tu3rang3
採樣	cai3//yang4
立即	li4ji2
從未	cong2wei4
接觸	jie1chu4
大氣層	da4qi4ceng2
冷凍	leng3dong4
儲存	chu3cun2
氦氣	hai4qi4
地質學家	di4zhi4xue2jia1
近鄰	jin4lin2
更	geng4
探索	tan4suo3
推銷	tui1xiao1
商家	shang1jia1
穀	gu3
速溶	su4rong2
飲料	yin3liao4
絕好	jue2hao3
歐盟	Ou5meng2
反托拉斯	fan3tuo1la1si1
三麗鷗	san1 li4 ou1
針對	zhen1dui4
擁有	yong1you3
凱蒂貓	Kai3di4 Mao1
授權	shou4quan2
跨境	kua4//jing4
販售	fan4shou4
馬克杯	ma3ke4bei1
暢行	chang4xing2
執委會	zhi2wei3hui4
問世	wen4shi4
擄獲	lu3huo4
粉絲	fen3si1
風靡	feng1mi3
促進	cu4jin4
數位	shu4wei4
他國	ta1guo2
消費者	xiao1fei4zhe3
境內	jing4nei4
耐吉	nai4 ji2
商品	shang1pin3
真空包裝	zhen1kong1 bao1zhuang1
限制	xian4zhi4
警戒	jing3jie4
擬	ni3
世貿組織	Shi4mao4zu3zhi1
申訴	shen1su4
持續	chi2xu4
感光	gan3guang1
用料	yong4liao4
管制	guan3zhi4
半導體	ban4dao3ti3
顯示器	xian3shi4qi4
總統	zong3tong3
文在寅	Wen2 Zai4yin2
呼籲	hu1yu4
鬆綁	song1//bang3
出口管制	chu1 kou3 guan3 zhi4
兩造	liang3zao4
管控	guan3kong4
稍早	shao1zao3
強徵	qiang3zheng1
賠償	pei2chang2
世界貿易組織	Shi4jie4 Mao4yi4 Zu3zhi1
信賴	xin4lai4
夥伴	huo3ban4
軍民	jun1min2
器材	qi4cai2
印尼	Yin4ni2
遷都	qian1//du1
婆羅洲	Po2luo2zhou1
佐科威	Zuo3ke1wei1
雅加達	Ya3jia1da2
遷	qian1
沉沒	chen2mo4
海平面	hai3ping2mian4
過度	guo4du4
搬遷	ban1qian1
兆	zhao4
印尼盾	Yin4ni2dun4
預算	yu4suan4
支應	zhi1ying4
人煙稀少	Ren2yan1 xi1shao3
聞名	wen2ming2
棲息地	qi1xi1di4
爆發	bao4fa1
頻率	pin2lü4
歷經	li4jing1
密集	mi4ji2
金融	jin1rong2
負擔	fu4dan1
芬蘭	Fen1lan2
就任	jiu4ren4
國會	guo2hui4
擔任	dan1ren4
新任	xin1ren4
總理	zong3li3
領軍	ling3//jun1
黨魁	dang3kui2
生平	sheng1ping2
常規	chang2gui1
同志	tong2zhi4
撫養	fu3yang3
支持	zhi1chi2
環境	huan2jing4
議題	yi4ti2
表決	biao3jue2
任命	ren4ming4
隨即	sui2ji2
布魯塞爾	Bu4lu3sai4er3
高峰會	gao1feng1hui4
輪值主席	lun2zhi2 zhu3xi2
內閣	nei4ge2
首長	shou3zhang3
崛起	jue2qi3
而言	er2yan2
稱得上	cheng1de5shang4
根據	gen1ju4
平權	ping2quan2
評比	ping2bi3
一向	yi1xiang4
名列前茅	ming2lie4qian2mao2
比利時	Bi3li4shi2
彈劾	tan2he2
川普	Chuan1pu3
眾議院	zhong4yi4yuan4
建國	jian4//guo2
眾議員	zhong4yi4yuan2
指控	zhi3kong4
濫用職權	lan4yong4zhi2quan2
阻礙	zu3ai4
歷史性	li4shi3xing4
黨派	dang3pai4
壁壘分明	bi4lei3fen1ming2
民主黨	Min2zhu3dang3
共和黨	Gong4he2dang3
條款	tiao2kuan3
移師	yi2shi1
參議院	can1yi4yuan4
開庭	kai1//ting2
預料	yu4liao4
掌控	zhang3kong4
獲	huo4
詹森	Zhan1sen1
柯林頓	Ke1lin2dun4
罷免	ba4mian3
尼克森	Ni2ke4sen1
請辭	qing3ci2
酷熱	ku4re4
乾旱	gan1han4
助長	zhu4zhang3
昆士蘭州	Kun1shi4lan2zhou1
前所未有	qian2suo3wei4you3
燒毀	shao1hui3
公頃	gong1qing3
面積	mian4ji1
竄	cuan4
釋出	shi4chu1
煙霧	yan1wu4
霧霾	wu4mai2
品質	pin3zhi4
雪梨	Xue3li2
季	ji4
摧毀	cui1hui3
房舍	fang2she4
導致	dao3zhi4
生態	sheng1tai4
浩劫	hao4jie2
估算	gu1suan4
數據	shu4ju4
顯示	xian3shi4
見於	jian4yu2
規模	gui1mo2
變遷	bian4qian1
愈來愈	yu4lai2yu4
頻繁	pin2fan2
脫歐	tuo1 Ou1
發言人	fa1yan2ren2
兌現	dui4xian4
首相	shou3xiang4
承諾	cheng2nuo4
呼應	hu1ying4
強生	Qiang2sheng1
口號	kou3hao4
脫離	tuo1li2
集團	ji2tuan2
程序	cheng2xu4
立法程序	li4fa3 cheng2xu4
送交	song4jiao1
形式	xing2shi4
協商	xie2shang1
權益	quan2yi4
一系列	yi1xi4lie4
艱難	jian1nan2
堅稱	jian1cheng1
延長	yan2chang2
過渡期	guo4du4qi1
伊朗	Yi1lang3
肺炎	fei4yan2
暴增	bao4zeng1
病例	bing4li4
新冠肺炎	xin1 guan1 fei4yan2
憂心	you1xin1
激增	ji1zeng1
意味著	yi4wei4zhe5
疫情	yi4qing2
演變	yan3bian4
組織	zu3zhi1
祕書長	mi4shu1zhang3
擴散	kuo4san4
縮短	suo1//duan3
威尼斯	Wei1ni2si1
嘉年華	jia1nian2hua2
區域	qu1yu4
隔離	ge2li2
飆升	biao1sheng1
逾	yu2
非必要	fei1bi4yao4
宗教	zong1jiao4
世衛	Shi4wei4
傳播	chuan2bo1
鏈	lian4
遏止	e4zhi3
捨棄	she3qi4
貼	tie1
頰	jia2
告誡	gao4jie4
擊掌	ji1//zhang3
揮手	hui1//shou3
鞠躬	ju1gong1
合十	he2shi2
基於	ji1yu2
巴黎	Ba1li2
羅浮宮	Luo2fu2 Gong1
參觀者	can1guan1zhe3
傳染	chuan2ran3
拒絕	ju4jue2
巨擘	ju4bo4
推特	Tui1te4
鼓勵	gu3li4
科技界	ke1ji4jie4
猶如	you2ru2
最終	zui4zhong1
肘	zhou3
距	ju4
疫苗	yi4miao2
防疫	fang2yi4
因應	yin1ying4
舉措	ju3cuo4
減緩	jian3huan3
蔓延	man4yan2
領袖	ling3xiu4
採取	cai3qu3
嚴苛	yan2ke1
圍堵	wei2du3
之際	zhi1ji4
政治	zheng4zhi4
布魯克林	Bu4lu3ke4lin2
洛杉磯	Luo4shan1ji1
均	jun1
好萊塢	Hao3lai2wu1
上映	shang4ying4
加緊	jia1jin3
研發	yan2fa1
啟動	qi3dong4
波	bo1
年輕	nian2qing1
志願者	zhi4yuan4zhe3
受試者	shou4shi4zhe3
公共衛生	gong1gong4wei4sheng1
證實	zheng4shi2
延期	yan2//qi1
延後	yan2hou4
舉行	ju3xing2
揭幕	jie1mu4
擇期	ze2qi1
繼	ji4
首度	shou3du4
情況	qing2kuang4
教科文組織	Jiao4 Ke1 Wen2 Zu3zhi1
亦即	yi4ji2
確保	que4bao3
籌組	chou2zu3
尋求	xun2qiu2
遠	yuan3
解決	jie3jue2
方案	fang1an4
亞馬遜	Ya4ma3xun4
共有	gong4you3
致力	zhi4li4
提供	ti2gong1
協助	xie2zhu4
急速	ji2su4
調降	tiao2jiang4
批准	pi1//zhun3
支出	zhi1chu1
刺激	ci4ji1
允許	yun3xu3
成員國	cheng2yuan2guo2
抗	kang4
上限	shang4xian4
火速	huo3su4
振興	zhen4xing1
紓困	shu1kun4
解禁	jie3//jin4
出走	chu1zou3
源頭	yuan2tou2
解除	jie3chu2
封鎖	feng1suo3
史無前例	shi3wu2qian2li4
獲準	huo4zhun3
必須	bi4xu1
秀	xiu4
監視	jian1shi4
追蹤	zhui1zong1
成千上萬	cheng2qian1-shang4wan4
湧入	yong3ru4
儘管	jin3guan3
看似	kan4si4
逐漸	zhu2jian4
奧地利	Ao4di4li4
丹麥	Dan1mai4
率先	shuai4xian1
逐步	zhu2bu4
幼兒園	you4er2yuan2
行號	hang2hao4
反觀	fan3guan1
安倍晉三	An1bei4 Jin4san1
待	dai4
違者	wei2zhe3
懲處	cheng2chu3
挖角	wa1jiao3
攀升	pan1sheng1
