word	pinyin	meanings	non_cloze_sentence	tags	regex	audio_name	sentence	audio
講述	jiǎng shù	to talk about; to narrate; to give an account		ny_times china-christmas-church-crackdown		cta2_jiǎng_shù.mp3	觀看{{c1::講述}}耶穌誕生場景	[sound:cta2_jiǎng_shù.mp3]
打擊	dǎ jì	to crackdown on something; to hit; to strike; to attack		ny_times china-christmas-church-crackdown		cta2_dǎ_jì.mp3	但在今年12月初的一次{{c1::打擊}}行動中...	[sound:cta2_dǎ_jì.mp3]
聖約	shèng yuē	covenant		ny_times china-christmas-church-crackdown		cta2_shèng_yuē.mp3	成都秋雨{{c1::聖約}}教會	[sound:cta2_shèng_yuē.mp3]
嚴厲	yán lì	severe; strict		ny_times china-christmas-church-crackdown		cta2_yán_lì.mp3	這次打擊基督教的行動是十多年來最{{c1::嚴厲}}的。	[sound:cta2_yán_lì.mp3]
沒收	mò shōu	to confiscate; to seize		ny_times china-christmas-church-crackdown		cta2_mò_shōu.mp3	警方{{c1::沒收}}了聖經	[sound:cta2_mò_shōu.mp3]
關閉	guān bì	to close; to shut		ny_times china-christmas-church-crackdown		cta2_guān_bì.mp3	警方{{c1::關閉}}了顧先生通常做禮拜的地方	[sound:cta2_guān_bì.mp3]
做禮拜	zuò lǐ bài	to go to church on Sunday (of Christians)		ny_times china-christmas-church-crackdown		cta2_zuò_lǐ_bài.mp3	警方關閉了顧先生通常{{c1::做禮拜}}的地方	[sound:cta2_zuò_lǐ_bài.mp3]
運行	yùn xíng	to run; to operate		ny_times china-christmas-church-crackdown		cta2_yùn_xíng.mp3	關閉了這家著名教會{{c1::運行}}的一個學堂	[sound:cta2_yùn_xíng.mp3]
煽動顛覆國家政權	shān dòng diān fù guó jiā zhèng quán	incitement to subvert state power (criminal charge used to gag free speech)		ny_times china-christmas-church-crackdown		cta2_shān_dòng_diān_fù_guó_jiā_zhèng_quán.mp3	以「{{c1::煽動顛覆國家政權}}」的罪名拘留了秋雨聖約會直言不諱的牧師	[sound:cta2_shān_dòng_diān_fù_guó_jiā_zhèng_quán.mp3]
煽動	shān dòng	to incite; to instigate		ny_times china-christmas-church-crackdown		cta2_shān_dòng.mp3	{{c1::煽動}}顛覆國家政權	[sound:cta2_shān_dòng.mp3]
顛覆	diān fù	to overturn (a regime, by plotting or subversion); to undermine; to subvert; to topple (i.e. knock over); to capsize;		ny_times china-christmas-church-crackdown		cta2_diān_fù.mp3	煽動{{c1::顛覆}}國家政權	[sound:cta2_diān_fù.mp3]
政權	zhèng quán	regime; political power		ny_times china-christmas-church-crackdown		cta2_zhèng_quán.mp3	煽動顛覆國家{{c1::政權}}	[sound:cta2_zhèng_quán.mp3]
罪名	zuì míng	criminal charge; accusation		ny_times china-christmas-church-crackdown		cta2_zuì_míng.mp3	以「煽動顛覆國家政權」的{{c1::罪名}}拘留	[sound:cta2_zuì_míng.mp3]
拘留	jū liú	to detain( a prisoner); to keep somebody in custody		ny_times china-christmas-church-crackdown		cta2_jū_liú.mp3	以「煽動顛覆國家政權」的罪名{{c1::拘留}}	[sound:cta2_jū_liú.mp3]
直言不諱	zhí yán bù huì	to speak bluntly (idiom); not to mince words		ny_times china-christmas-church-crackdown		cta2_zhí_yán_bù_huì.mp3	拘留了秋雨聖約會{{c1::直言不諱}}的牧師	[sound:cta2_zhí_yán_bù_huì.mp3]
情節	qíng jié	plot; circumstances		ny_times china-christmas-church-crackdown		cta2_qíng_jié.mp3	如果{{c1::情節}}嚴重...	[sound:cta2_qíng_jié.mp3]
判處	pàn chǔ	to sentence; to condemn		ny_times china-christmas-church-crackdown		cta2_pàn_chǔ.mp3	最可被{{c1::判處}}至少五年監禁	[sound:cta2_pàn_chǔ.mp3]
監禁	jiān jìn	to imprison; to jail; to take into custody		ny_times china-christmas-church-crackdown		cta2_jiān_jìn.mp3	最可被判處至少五年{{c1::監禁}}	[sound:cta2_jiān_jìn.mp3]
平安夜	píng ān yè	Christmas Eve; Silent Night (Christmas carol)		ny_times china-christmas-church-crackdown		cta2_píng_ān_yè.mp3	{{c1::平安夜}}，他去了他知道的唯一安全的地方	[sound:cta2_píng_ān_yè.mp3]
生意	shēng yi	business		ny_times china-christmas-church-crackdown		cta2_shēng_yi.mp3	做大米{{c1::生意}}	[sound:cta2_shēng_yi.mp3]
誦讀	sòng dú	to read aloud		ny_times china-christmas-church-crackdown		cta2_sòng_dú.mp3	他{{c1::誦讀}}了贊美詩	[sound:cta2_sòng_dú.mp3]
成員	chéng yuán	member		ny_times china-christmas-church-crackdown		cta2_chéng_yuán.mp3	為被拘留的{{c1::成員}}做了祈禱	[sound:cta2_chéng_yuán.mp3]
祈禱	qí dǎo	to pray; to say one's prayers; prayer		ny_times china-christmas-church-crackdown		cta2_qí_dǎo.mp3	為被拘留的成員做了{{c1::祈禱}}	[sound:cta2_qí_dǎo.mp3]
由於	yóu yú	due to; as a result of; thanks to; oweing to; since; because		ny_times china-christmas-church-crackdown		cta2_yóu_yú.mp3	{{c1::由於}}擔心他和自己的朋友們可能被抓...	[sound:cta2_yóu_yú.mp3]
加密	jiā mì	to encrypt; encryption; to protect with a password		ny_times china-christmas-church-crackdown		cta2_jiā_mì.mp3	顧先生用{{c1::加密}}的聊天應用程序。	[sound:cta2_jiā_mì.mp3]
監視	jiān shì	to monitor; to keep a close watch over; surveillance	他交流了有關警方監視和騷擾的信息。	ny_times china-christmas-church-crackdown	{{c1::監視}}	cta2_jiān_shì.mp3	他交流了有關警方{{c1::監視}}和騷擾的信息。	[sound:cta2_jiān_shì.mp3]
騷擾	sāo ráo	to disturb; to cause a commotion; to harass	他交流了有關警方監視和騷擾的信息。	ny_times china-christmas-church-crackdown	{{c1::騷擾}}	cta2_sāo_ráo.mp3	他交流了有關警方監視和{{c1::騷擾}}的信息。	[sound:cta2_sāo_ráo.mp3]
